antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'HMEQLC'}),frozenset({'CKING'}),0.164685270929796,0.8578400700788387,0.164685270929796,1.0,1.1657184536834428,0.023411646574427264,inf
frozenset({'CCRD'}),frozenset({'SVG'}),0.154799149042673,0.6186960330371668,0.10224002002252534,0.6604688763136621,1.0675175547375555,0.006466400592294419,1.1230309693643445
frozenset({'MMDA'}),frozenset({'CKING'}),0.17444625203353772,0.8578400700788387,0.15580027530972343,0.8931133428981348,1.0411187050472641,0.006153290240282688,1.3300063242288511
frozenset({'CKING'}),frozenset({'SVG'}),0.8578400700788387,0.6186960330371668,0.5417344512576648,0.6315098468271335,1.0207110004036457,0.010992202919562155,1.0347738295844109
frozenset({'SVG'}),frozenset({'CKING'}),0.6186960330371668,0.8578400700788387,0.5417344512576648,0.8756067961165048,1.0207110004036455,0.010992202919562155,1.1428271439515796
frozenset({'ATM'}),frozenset({'SVG'}),0.3845576273307471,0.6186960330371668,0.25691402828181703,0.6680767979173445,1.0798142581224717,0.01898974977809864,1.1487716573301825
frozenset({'CCRD'}),frozenset({'CKING'}),0.154799149042673,0.8578400700788387,0.1485421098736078,0.9595796281325788,1.1185996802928428,0.015749197010696603,3.5170366662495294
frozenset({'ATM'}),frozenset({'CKING'}),0.3845576273307471,0.8578400700788387,0.36190714553873105,0.9410999023755287,1.0970575229588402,0.03201820355997104,2.413577152749877
frozenset({'CKCRD'}),frozenset({'CKING'}),0.11300212739331748,0.8578400700788387,0.11300212739331748,1.0,1.1657184536834428,0.016064374511176163,inf
frozenset({'HMEQLC'}),frozenset({'SVG'}),0.164685270929796,0.6186960330371668,0.11150043799274184,0.6770516717325229,1.0943203699058637,0.009610314168826004,1.1806965188778555
